(04, 40
(1), 7, 4042
(2), 7, 4042
(3), 7, 4042
(4), 742
(5), 7
(amr, 20
(bodies, 27
(contamination), 7
(fast, 24
(here, 25
(ie, 18
(in, 45
(j, 22
(reference, 28
(see, 18
(speeds, 27
(spheres), 7
(to, 24
(very, 24
(with, 15
(zero, 32
), 7, 15, 18, 20, 24, 25, 27, 28, 32, 40, 4245
0, 7, 9, 20, 22, 23, 25, 40, 4450
040, 9
046, 9
0715, 23
075, 50
1, 7, 9, 18, 20, 21, 22, 23, 25, 28, 40, 41, 4249
1), 7, 18, 20, 4042
10, 920
10(1957), 20
12, 740
15, 923
1700, 25
176, 41
190, 7
197, 40
2, 6, 7, 9, 20, 22, 25, 40, 4249
20, 25
25, 22
26, 920
2601), 20
271, 7
3, 7, 28, 40, 4245
367, 7
400, 22
401, 22
5, 7, 9, 20, 22, 23, 27, 4950
5), 727
58, 9
6, 7, 9, 19, 20, 22, 4150
676, 50
9, 7, 9, 2040
=, 19, 2044
a, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 4950
about, 27, 32, 39, 4649
above, 11, 2946
abovementioned, 46
acceleration, 2933
accelerator, 34
accelerators, 34
accomplished, 47
account, 22, 25, 26, 4244
accrue, 33
accurate, 24, 25, 32, 36, 4950
accurately, 24, 2532
achieved, 14
ackeret's, 14
across, 15, 4550
acrothermoelasticity, 12
acting, 144
actual, 44
addition, 8, 3244
additional, 832
advantageous, 34
advantages, 33
adverse, 40
aero, 5, 11, 12, 13, 14, 22, 27, 29, 32, 33, 3644
aerodynamic, 5, 11, 13, 14, 29, 32, 33, 3644
aerodynamics, 11
aerodynamieist, 27
aeroelastic, 1214
aeronautical, 1233
affect, 2442
after, 1, 7, 825
afterbody, 25
again, 225
agree, 1, 9, 14, 16, 2939
agreement, 9, 16, 2939
aid, 2733
air, 9, 12, 14, 25, 27, 29, 33, 37, 39, 42, 47, 4950
aircraft, 12, 14, 2947
airfoil, 1439
airfoils, 1439
airplane, 42
algebraic, 34
all, 1, 2, 9, 12, 13, 14, 15, 16, 17, 22, 23, 24, 25, 26, 27, 30, 32, 33, 34, 35, 36, 37, 40, 41, 42, 43, 44, 45, 47, 4950
alleviating, 12
allows, 32
almost, 1424
along, 9, 2334
also, 4, 14, 20, 25, 28, 37, 38, 4044
although, 9, 4449
always, 14
ambient, 4350
among, 33
amount, 9, 1419
amounts, 14
amplitude, 15
an, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 4950
analog, 13, 25, 3247
analogous, 2532
analyses, 1442
analysis, 10, 15, 16, 21, 25, 29, 30, 35, 36, 39, 46, 4749
analytic, 5, 6, 12, 16, 28, 3449
